distnum,distname,bloc_share,cpc_share,gpc_share,lpc_share,ndp_share,ind_share,bloc_margin,cpc_margin,gpc_margin,lpc_margin,ndp_margin,ind_margin,winner,winnershare,province
24043,Longueuil--Saint-Hubert,27.3,8.7,2.5,30.0,31.2,0.3,-3.8999999999999986,-22.5,-28.7,-1.1999999999999993,0.0,-30.9,NDP,31.2,Quebec
24044,Louis-Hébert,14.4,27.2,2.5,34.8,20.8,0.2,-20.4,-7.599999999999998,-32.3,0.0,-13.999999999999996,-34.599999999999994,LPC,34.8,Quebec
24045,Louis-Saint-Laurent,10.3,50.5,1.9,21.4,15.9,0.0,-40.2,0.0,-48.6,-29.1,-34.6,-50.5,CPC,50.5,Quebec
24046,Manicouagan,41.3,10.3,1.6,29.4,17.5,0.0,0.0,-30.999999999999996,-39.699999999999996,-11.899999999999999,-23.799999999999997,-41.3,Bloc,41.3,Quebec
24065,Marc-Aurèle-Fortin,21.7,11.9,1.9,40.9,23.5,0.0,-19.2,-29.0,-39.0,0.0,-17.4,-40.9,LPC,40.9,Quebec
24047,Mégantic--L'Érable,12.3,35.4,2.1,28.1,22.0,0.0,-23.099999999999998,0.0,-33.3,-7.299999999999997,-13.399999999999999,-35.4,CPC,35.4,Quebec
24048,Mirabel,31.5,10.1,2.2,26.1,30.1,0.0,0.0,-21.4,-29.3,-5.399999999999999,-1.3999999999999986,-31.5,Bloc,31.5,Quebec
24049,Montarville,28.4,10.9,2.4,32.5,24.7,1.1,-4.100000000000001,-21.6,-30.1,0.0,-7.800000000000001,-31.4,LPC,32.5,Quebec
24050,Montcalm,36.6,9.6,1.8,27.3,23.5,1.2,0.0,-27.0,-34.800000000000004,-9.3,-13.100000000000001,-35.4,Bloc,36.6,Quebec
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,16.1,29.0,1.7,28.4,24.2,0.6,-12.899999999999999,0.0,-27.3,-0.6000000000000014,-4.800000000000001,-28.4,CPC,29.0,Quebec
24052,Mount Royal/Mont-Royal,1.9,37.9,1.6,50.3,8.1,0.3,-48.4,-12.399999999999999,-48.699999999999996,0.0,-42.199999999999996,-50.0,LPC,50.3,Quebec
24053,Notre-Dame-de-Grâce--Westmount,2.5,14.4,3.1,57.7,21.8,0.4,-55.2,-43.300000000000004,-54.6,0.0,-35.900000000000006,-57.300000000000004,LPC,57.7,Quebec
24054,Outremont,8.4,9.5,3.6,33.5,44.1,0.5,-35.7,-34.6,-40.5,-10.600000000000001,0.0,-43.6,NDP,44.1,Quebec
24055,Papineau,12.2,4.7,2.8,52.0,25.9,1.0,-39.8,-47.3,-49.2,0.0,-26.1,-51.0,LPC,52.0,Quebec
